Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1564,58,Male,Jeans,Clothing,63.0,Rhode Island,L,Brown,Fall,4.5,Yes,Free Shipping,No,No,48,Venmo,Weekly
2267,51,Female,Handbag,Accessories,90.0,Georgia,L,Green,Spring,5.0,No,Next Day Air,No,No,4,Debit Card,Monthly
3284,27,Female,Jewelry,Accessories,162.0,Virginia,M,Brown,Winter,4.4,Yes,Express,No,No,69,Venmo,Weekly
4186,26,Male,Belt,Accessories,55.0,Tennessee,S,Brown,Winter,3.8,Yes,Express,Yes,Yes,70,Credit Card,Monthly
3621,70,Male,Shorts,Clothing,33.0,Texas,M,Turquoise,Summer,3.8,No,Standard,Yes,Yes,11,Debit Card,Bi-Weekly
3209,53,Female,Boots,Footwear,151.0,Missouri,L,Charcoal,Winter,,No,Store Pickup,No,No,2,Credit Card,Bi-Weekly
1086,58,Female,Handbag,Accessories,163.0,New York,S,White,Winter,4.3,Yes,Express,Yes,Yes,46,Credit Card,Bi-Weekly
2679,36,Male,Socks,Clothing,20.0,Idaho,L,Teal,Spring,3.6,Yes,Store Pickup,No,No,67,Debit Card,Monthly
966,70,Male,Sunglasses,Accessories,72.0,California,S,Green,Summer,4.2,No,Standard,Yes,Yes,5,PayPal,Quarterly
3696,63,Female,Socks,Clothing,17.0,Mississippi,M,Gray,Fall,3.7,Yes,Free Shipping,No,No,69,Cash,Monthly
3591,41,Male,Shirt,Clothing,41.0,New Jersey,L,Teal,Winter,3.6,Yes,Standard,No,No,75,PayPal,Weekly
1268,27,Female,Backpack,Accessories,62.0,Iowa,L,Yellow,Fall,,Yes,Standard,Yes,No,44,Bank Transfer,Every 3 Months
4592,69,Female,Jeans,Clothing,72.0,New Jersey,M,Orange,Summer,3.9,No,Store Pickup,Yes,Yes,3,Cash,Quarterly
3554,19,Female,Shirt,Clothing,32.0,Montana,S,Purple,Fall,4.1,No,2-Day Shipping,No,No,4,Venmo,Every 3 Months
4754,27,Male,Handbag,Accessories,91.0,Illinois,M,Silver,Winter,4.1,No,Next Day Air,No,No,1,Debit Card,Monthly
4410,48,Female,Jewelry,Accessories,116.0,South Dakota,XL,Beige,Winter,4.3,Yes,Standard,Yes,Yes,50,Credit Card,Bi-Weekly
3046,23,Female,Jewelry,Accessories,78.0,Indiana,XL,Teal,Fall,4.8,Yes,2-Day Shipping,No,No,34,Credit Card,Bi-Weekly
2276,28,Female,Jewelry,Accessories,91.0,Colorado,S,Indigo,Fall,4.7,No,Standard,No,No,6,Cash,Quarterly
864,19,Female,Jeans,Clothing,54.0,South Dakota,L,Beige,Winter,4.3,Yes,Next Day Air,Yes,Yes,24,Cash,Bi-Weekly
637,40,Male,Backpack,Accessories,72.0,Georgia,S,Green,Winter,3.8,Yes,2-Day Shipping,No,No,24,Debit Card,Monthly
1930,68,Male,Jeans,Clothing,51.0,Missouri,S,Silver,Spring,4.0,Yes,Express,Yes,Yes,11,Cash,Quarterly
3237,24,Female,Jeans,Clothing,35.0,Pennsylvania,XL,Maroon,Summer,4.1,No,Store Pickup,Yes,No,8,Debit Card,Weekly
1779,39,Female,Jacket,Outerwear,108.0,Missouri,XL,Purple,Summer,4.2,No,Free Shipping,No,No,7,Credit Card,Every 3 Months
1258,53,Female,Shorts,Clothing,37.0,Minnesota,S,Turquoise,Summer,,No,Free Shipping,No,No,5,Bank Transfer,Quarterly
3062,63,Male,Blouse,Clothing,49.0,New Jersey,M,Lavender,Summer,3.7,No,2-Day Shipping,No,No,39,Bank Transfer,Fortnightly
4091,18,Female,Jewelry,Accessories,118.0,Texas,M,Charcoal,Fall,4.8,No,2-Day Shipping,No,No,6,Credit Card,Every 3 Months
2467,33,Female,Jeans,Clothing,87.0,Maryland,XL,Olive,Summer,3.9,Yes,Express,No,No,14,Credit Card,Monthly
2381,41,Female,Shoes,Footwear,121.0,Vermont,L,Red,Spring,4.5,No,Next Day Air,Yes,No,30,Debit Card,Monthly
4696,40,Male,Jewelry,Accessories,113.0,New Jersey,S,Yellow,Summer,4.3,Yes,Next Day Air,Yes,Yes,6,Credit Card,Quarterly
2218,22,Male,Boots,Footwear,93.0,Indiana,M,Cyan,Winter,4.5,No,Standard,No,No,1,Cash,Quarterly
1071,38,Male,Blouse,Clothing,36.0,New Hampshire,M,Teal,Spring,3.5,No,Standard,No,No,13,Credit Card,Annually
3915,31,Female,Belt,Accessories,54.0,Pennsylvania,L,Silver,Spring,3.8,No,Store Pickup,No,No,9,Credit Card,Annually
2107,67,Female,Scarf,Accessories,52.0,Nebraska,M,Beige,Fall,4.3,No,Store Pickup,Yes,Yes,30,Cash,Weekly
275,46,Female,Sweater,Clothing,54.0,Arkansas,L,Green,Fall,4.0,Yes,Express,No,No,44,Cash,Monthly
4259,26,Male,Sneakers,Footwear,47.0,Wyoming,L,White,Spring,4.1,No,Express,No,No,7,Venmo,Monthly
4248,48,Male,Jewelry,Accessories,129.0,Virginia,M,Gray,Winter,5.0,No,Free Shipping,No,No,45,PayPal,Quarterly
1721,36,Male,T-shirt,Clothing,25.0,Maine,S,Green,Fall,4.3,Yes,Express,Yes,Yes,16,Debit Card,Monthly
842,23,Male,Handbag,Accessories,117.0,Kansas,M,Lavender,Fall,4.9,No,Next Day Air,No,No,3,Cash,Quarterly
4613,42,Male,Socks,Clothing,17.0,Pennsylvania,XL,Turquoise,Spring,3.5,No,Standard,Yes,Yes,27,Venmo,Monthly
766,28,Male,Boots,Footwear,117.0,Pennsylvania,XL,Maroon,Fall,4.3,Yes,Express,Yes,Yes,64,Credit Card,Bi-Weekly
271,49,Male,Shirt,Clothing,38.0,Michigan,M,White,Winter,4.2,No,Standard,Yes,Yes,5,Debit Card,Monthly
2485,28,Female,Boots,Footwear,95.0,Florida,S,Red,Fall,4.9,No,Standard,Yes,Yes,24,PayPal,Every 3 Months
169,22,Male,Hat,Accessories,24.0,Delaware,L,Brown,Winter,3.5,No,Store Pickup,No,No,5,Cash,Weekly
4617,30,Female,Shoes,Footwear,61.0,Nebraska,S,Magenta,Summer,4.1,No,2-Day Shipping,No,No,8,PayPal,Every 3 Months
1932,59,Female,Jeans,Clothing,60.0,Illinois,M,Red,Winter,3.9,Yes,Free Shipping,No,No,56,Credit Card,Monthly
293,47,Male,Shirt,Clothing,49.0,New Hampshire,XL,Purple,Summer,4.1,No,Free Shipping,Yes,No,22,Debit Card,Quarterly
1975,61,Female,Pants,Clothing,64.0,Maryland,S,Orange,Summer,3.8,No,Standard,Yes,No,4,Debit Card,Quarterly
26,68,Male,Shirt,Clothing,35.0,New Hampshire,XL,Purple,Summer,3.9,No,Free Shipping,No,No,5,PayPal,Monthly
16,39,Male,Pants,Clothing,48.0,Wyoming,L,Maroon,Spring,4.4,No,Free Shipping,No,No,1,Cash,Quarterly
1491,56,Male,Blouse,Clothing,48.0,Ohio,L,Yellow,Summer,4.0,Yes,Free Shipping,No,No,79,Debit Card,Weekly
1357,36,Male,Belt,Accessories,62.0,New Jersey,S,Purple,Summer,3.8,No,Store Pickup,No,Yes,10,Bank Transfer,Every 3 Months
3716,64,Male,Coat,Outerwear,136.0,Oregon,L,Gold,Winter,4.0,No,Store Pickup,No,No,18,Bank Transfer,Quarterly
11,47,Female,Sunglasses,Accessories,44.0,Nevada,M,Peach,Spring,4.0,No,Standard,Yes,No,4,Cash,Annually
1938,61,Male,Sneakers,Footwear,78.0,Nebraska,XL,Cyan,Fall,4.3,No,Standard,No,No,35,Venmo,Monthly
598,32,Female,Blouse,Clothing,,Maine,S,Yellow,Summer,3.9,No,Next Day Air,Yes,Yes,8,Credit Card,Monthly
2779,65,Male,Shoes,Footwear,86.0,Utah,S,Beige,Winter,3.6,No,Free Shipping,Yes,Yes,11,Venmo,Monthly
794,30,Female,Blouse,Clothing,30.0,Michigan,L,Olive,Spring,4.2,No,Free Shipping,Yes,Yes,6,PayPal,Every 3 Months
4729,41,Female,Jacket,Outerwear,133.0,Missouri,M,Yellow,Spring,4.5,Yes,Standard,No,No,47,Credit Card,Monthly
2870,48,Female,Hat,Accessories,24.0,Kentucky,M,Violet,Spring,3.4,No,Standard,Yes,Yes,7,Credit Card,Quarterly
578,55,Male,Sneakers,Footwear,54.0,Montana,L,Indigo,Fall,4.5,No,Standard,Yes,No,7,Debit Card,Quarterly
3708,19,Female,T-shirt,Clothing,40.0,Massachusetts,M,Blue,Spring,4.1,Yes,2-Day Shipping,No,No,69,Credit Card,Monthly
3255,27,Male,Blouse,Clothing,30.0,Pennsylvania,M,Black,Spring,3.9,No,Express,Yes,Yes,13,Venmo,Annually
1498,66,Male,Handbag,Accessories,121.0,Michigan,XL,Gold,Summer,4.2,No,Free Shipping,No,No,26,PayPal,Weekly
4007,65,Male,Jewelry,Accessories,137.0,Florida,S,Blue,Summer,4.7,Yes,Express,No,No,20,Cash,Monthly
4230,64,Female,Hat,Accessories,26.0,Montana,S,Silver,Summer,3.6,No,Standard,Yes,Yes,3,Bank Transfer,Quarterly
590,36,Female,Hat,Accessories,21.0,New Mexico,S,Purple,Summer,4.3,No,Next Day Air,Yes,Yes,28,Credit Card,Monthly
2788,23,Female,Dress,Clothing,41.0,Kansas,M,Cyan,Spring,3.4,Yes,Standard,No,No,9,Credit Card,Quarterly
2205,55,Female,Sunglasses,Accessories,50.0,Washington,S,White,Spring,4.5,No,Next Day Air,No,No,13,Cash,Quarterly
3361,33,Male,Handbag,Accessories,201.0,California,M,Peach,Spring,4.5,Yes,2-Day Shipping,Yes,Yes,82,Credit Card,Bi-Weekly
1759,46,Female,Sandals,Footwear,51.0,New Hampshire,XL,Green,Summer,3.7,No,Standard,Yes,Yes,18,Bank Transfer,Bi-Weekly
3560,49,Female,Jewelry,Accessories,87.0,Oklahoma,S,Red,Summer,4.4,Yes,Store Pickup,No,No,8,PayPal,Monthly
3563,67,Male,Hat,Accessories,26.0,Alabama,S,Gray,Fall,3.3,No,Free Shipping,Yes,Yes,29,PayPal,Bi-Weekly
1726,52,Female,Jewelry,Accessories,87.0,Tennessee,S,Blue,Summer,4.6,No,Free Shipping,Yes,No,13,PayPal,Quarterly
3641,37,Male,Hat,Accessories,37.0,Georgia,S,Maroon,Fall,3.6,Yes,Store Pickup,Yes,Yes,12,Debit Card,Monthly
3507,19,Female,Sweater,Clothing,94.0,Hawaii,L,Gold,Summer,4.5,No,Express,Yes,Yes,22,Venmo,Bi-Weekly
4219,49,Female,Socks,Clothing,15.0,Nevada,L,Teal,Fall,3.7,Yes,Standard,No,No,7,Debit Card,Fortnightly
