customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
1564,58,Male,Jeans,Clothing,63.0,Rhode Island,L,Brown,Fall,4.5,Yes,Free Shipping,No,No,48,Venmo,Weekly,46-60,7
2267,51,Female,Handbag,Accessories,90.0,Georgia,L,Green,Spring,5.0,No,Next Day Air,No,No,4,Debit Card,Monthly,46-60,30
3284,27,Female,Jewelry,Accessories,162.0,Virginia,M,Brown,Winter,4.4,Yes,Express,No,No,69,Venmo,Weekly,18-30,7
4186,26,Male,Belt,Accessories,55.0,Tennessee,S,Brown,Winter,3.8,Yes,Express,Yes,Yes,70,Credit Card,Monthly,18-30,30
3621,70,Male,Shorts,Clothing,33.0,Texas,M,Turquoise,Summer,3.8,No,Standard,Yes,Yes,11,Debit Card,Bi-Weekly,61+,14
3209,53,Female,Boots,Footwear,151.0,Missouri,L,Charcoal,Winter,4.2,No,Store Pickup,No,No,2,Credit Card,Bi-Weekly,46-60,14
1086,58,Female,Handbag,Accessories,163.0,New York,S,White,Winter,4.3,Yes,Express,Yes,Yes,46,Credit Card,Bi-Weekly,46-60,14
2679,36,Male,Socks,Clothing,20.0,Idaho,L,Teal,Spring,3.6,Yes,Store Pickup,No,No,67,Debit Card,Monthly,31-45,30
966,70,Male,Sunglasses,Accessories,72.0,California,S,Green,Summer,4.2,No,Standard,Yes,Yes,5,PayPal,Quarterly,61+,90
3696,63,Female,Socks,Clothing,17.0,Mississippi,M,Gray,Fall,3.7,Yes,Free Shipping,No,No,69,Cash,Monthly,61+,30
3591,41,Male,Shirt,Clothing,41.0,New Jersey,L,Teal,Winter,3.6,Yes,Standard,No,No,75,PayPal,Weekly,31-45,7
1268,27,Female,Backpack,Accessories,62.0,Iowa,L,Yellow,Fall,4.2,Yes,Standard,Yes,No,44,Bank Transfer,Every 3 Months,18-30,90
4592,69,Female,Jeans,Clothing,72.0,New Jersey,M,Orange,Summer,3.9,No,Store Pickup,Yes,Yes,3,Cash,Quarterly,61+,90
3554,19,Female,Shirt,Clothing,32.0,Montana,S,Purple,Fall,4.1,No,2-Day Shipping,No,No,4,Venmo,Every 3 Months,18-30,90
4754,27,Male,Handbag,Accessories,91.0,Illinois,M,Silver,Winter,4.1,No,Next Day Air,No,No,1,Debit Card,Monthly,18-30,30
4410,48,Female,Jewelry,Accessories,116.0,South Dakota,XL,Beige,Winter,4.3,Yes,Standard,Yes,Yes,50,Credit Card,Bi-Weekly,46-60,14
3046,23,Female,Jewelry,Accessories,78.0,Indiana,XL,Teal,Fall,4.8,Yes,2-Day Shipping,No,No,34,Credit Card,Bi-Weekly,18-30,14
2276,28,Female,Jewelry,Accessories,91.0,Colorado,S,Indigo,Fall,4.7,No,Standard,No,No,6,Cash,Quarterly,18-30,90
864,19,Female,Jeans,Clothing,54.0,South Dakota,L,Beige,Winter,4.3,Yes,Next Day Air,Yes,Yes,24,Cash,Bi-Weekly,18-30,14
637,40,Male,Backpack,Accessories,72.0,Georgia,S,Green,Winter,3.8,Yes,2-Day Shipping,No,No,24,Debit Card,Monthly,31-45,30
1930,68,Male,Jeans,Clothing,51.0,Missouri,S,Silver,Spring,4.0,Yes,Express,Yes,Yes,11,Cash,Quarterly,61+,90
3237,24,Female,Jeans,Clothing,35.0,Pennsylvania,XL,Maroon,Summer,4.1,No,Store Pickup,Yes,No,8,Debit Card,Weekly,18-30,7
1779,39,Female,Jacket,Outerwear,108.0,Missouri,XL,Purple,Summer,4.2,No,Free Shipping,No,No,7,Credit Card,Every 3 Months,31-45,90
1258,53,Female,Shorts,Clothing,37.0,Minnesota,S,Turquoise,Summer,4.0,No,Free Shipping,No,No,5,Bank Transfer,Quarterly,46-60,90
3062,63,Male,Blouse,Clothing,49.0,New Jersey,M,Lavender,Summer,3.7,No,2-Day Shipping,No,No,39,Bank Transfer,Fortnightly,61+,14
4091,18,Female,Jewelry,Accessories,118.0,Texas,M,Charcoal,Fall,4.8,No,2-Day Shipping,No,No,6,Credit Card,Every 3 Months,18-30,90
